# Key	E	L	R	T	B	V	N = None
# Row 1
Node	0	N	1	N	5	6
Node	1	0	2	N	6	6
Node	2	1	3	N	7	6
Node	3	2	4	N	8	6
Node	4	3	N	N	9	6
# Row 2
Node	5	N	6	0	10	5
Node	6	5	7	1	11	5
Node	7	6	8	2	12	5
Node	8	7	9	3	13	5
Node	9	8	N	4	14	5
# Row 3
Node	10	N	11	5	15	4
Node	11	10	12	6	16	4
Node	12	11	13	7	17	4
Node	13	12	14	8	18	4
Node	14	13	N	9	19	4
# Row 4
Node	15	N	16	10	20	3
Node	16	15	17	11	21	3
Node	17	16	18	12	22	3
Node	18	17	19	13	23	3
Node	19	18	N	14	24	3
# Row 5
Node	20	N	21	15	25	2
Node	21	20	22	16	26	2
Node	22	21	23	17	27	2
Node	23	22	24	18	28	2
Node	24	23	N	19	29	2
# Row 6
Node	25	N	26	20	N	1
Node	26	25	27	21	N	1
Node	27	26	28	22	N	1
Node	28	27	29	23	N	1	
Node	29	28	N	24	N	1
